,Pro_B,Pre_B,Immature_B,Transitional_B,MZ_B,Follicular_B,Activated_B,CG_B,Plasmablast,LL_Plasma_Cell,SL_Plasma_Cell,Memory_B,CD4_T,IEL_T,Tfh,Effector_CD8_T,Macrophage,cDC_im,cDC_m,pDC
AnnexinV,,,,,,,,,,,,,,,,,,,,
B220,3,3,3,3,3,3,3,,,,,3,,,,,,,,
Bcl_6,,,,,,2,,2,,,,,,,2,,,,,
CCR7,,,,,,,,,,,,,,,,,,,3,
CD103,,,,,,,,,,,,,,4,,,,,,
CD11b,,,,,,,,,,,,,,,,,4,,,
CD11c,,,,,,,,,,,,,,,,,,3,3,
CD138,,,,,,,,,4,4,4,,,,,,,,,
CD19,3,3,3,3,,3,,3,3,,,,,,,,,,,
CD205,,,,,,,,,,,,,,,,,,4,4,
CD3,,,,,,,,,,,,,3,3,3,3,,,,
CD38,,,,,,3,,,,,,4,,,,,,,,
CD4,,,,,,,,,,,,,3,3,3,,,,,3
CD40L,,,,,,,,,,,,,,,,,,,,
CD44,,,,,,,,,,,,,,,,3,,,,
CD45_1,,,,,,,,,,,,,,,,,,,,
CD45_2,,,,,,,,,,,,,,,,,,,,
CD62L,,,,,,,,,,,,,3,,,,,,,3
CD8,,,,,,,,,,,,,,,,4,,,,
CD80,,,,,,,3,,,,,,,,,,,,,
CD86,,,,,,,,,,,,,,,,,,,,
CD8alpha,,,,,,,,,,,,,,,,,,,,
CXCR4,,,,,,,,,3,5,5,,,,,,,,,
CXCR5,,,,,,,,,,,,,,,4,,,,,
F4_80,,,,,,,,,,,,,,,,,,,,
FAS,,,,,,,,,,,,,,,,,,,,
GL_7,,,,,,,,4,,,,,,,,,,,,
Gr_1,,,,,,,,,,,,,,,,,,,,
IgD,,,,1,1,4,3,1,,,,1,,,,,,,,
IgG,,,,,,,,3,3,,,3,,,,,,,,
IgG1,,,,,,,,,,,,,,,,,,,,
IgG2b,,,,,,,,,,,,,,,,,,,,
IgM,,,3,5,4,1,3,3,3,,,3,,,,,,,,
Ly_6G,,,,,,,,,,,,,,,,,,,,
MHCII,,,,,,,5,,3,,,,,,,,,1,5,
NK1_1,,,,,,,,,,,,,,,,,,,,
PD_1,,,,,,,,,,,,,,,,,,,,
PDL_1,,,,,,,,,,,,,,,,,,,,
TCR_beta,,,,,,,,,,,,,,,,,,,,
TCRValpha2,,,,,,,,,,,,,,,,,,,,
Thy1_1,,,,,,,,,,,,,,,,,,,,
Thy1_2,,,,,,,,,,,,,,,,,,,,
TNF_alpha,,,,,,,,,,,,,,,,,,,,
TNF_gamma,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1_low,,,,,,,,,,,,,,,,,,,
,2_intracellular,,,,,,,,,,,,,,,,,,,
,3_normal,,,,,,,,,,,,,,,,,,,
,4_key,,,,,,,,,,,,,,,,,,,
,5_high,,,,,,,,,,,,,,,,,,,
